actual,prob_0,prob_1,predicted
1,0.4791787949602222,0.5208212050397778,1
1,0.7197640293907326,0.28023597060926747,0
1,0.3731348285321465,0.6268651714678535,1
0,0.6297681558439947,0.37023184415600524,0
1,0.23211913216116598,0.767880867838834,1
0,0.06690789034542144,0.9330921096545786,1
1,0.5144245487168703,0.48557545128312973,0
0,0.7734753567346453,0.2265246432653547,0
1,0.13251513431108708,0.8674848656889129,1
1,0.14444489922111947,0.8555551007788805,1
1,0.48481455443138133,0.5151854455686187,1
1,0.13460563458031893,0.8653943654196811,1
1,0.3296474067186532,0.6703525932813468,1
1,0.12464115943322907,0.8753588405667709,1
0,0.17013659553534877,0.8298634044646512,1
0,0.5540213785742509,0.4459786214257491,0
1,0.7460638740438552,0.2539361259561448,0
1,0.2188476605790879,0.7811523394209121,1
0,0.4989337169282203,0.5010662830717797,1
1,0.3753307681122404,0.6246692318877596,1
0,0.42085612036212183,0.5791438796378782,1
0,0.6411863377585802,0.35881366224141975,0
0,0.5695532280352396,0.43044677196476044,0
1,0.12814770184327362,0.8718522981567264,1
1,0.4340947105367977,0.5659052894632023,1
0,0.16869384867392512,0.8313061513260749,1
1,0.4104074629732558,0.5895925370267442,1
1,0.2639285498769618,0.7360714501230382,1
1,0.5002820807271373,0.4997179192728627,0
1,0.5015115393310354,0.4984884606689645,0
1,0.0929255090806348,0.9070744909193652,1
0,0.5466196151228954,0.45338038487710464,0
0,0.5876447245800338,0.41235527541996625,0
1,0.11154210066959747,0.8884578993304025,1
1,0.10735805294358702,0.892641947056413,1
0,0.1890697214626208,0.8109302785373792,1
0,0.5496262418700886,0.4503737581299114,0
1,0.1124650908857332,0.8875349091142668,1
1,0.10848879096765685,0.8915112090323432,1
1,0.09902735628535664,0.9009726437146434,1
0,0.38915530580473157,0.6108446941952684,1
0,0.6248808250751574,0.3751191749248426,0
1,0.3160234180224525,0.6839765819775475,1
0,0.6841439025088002,0.3158560974911998,0
1,0.05594947156814434,0.9440505284318557,1
1,0.2725355642499365,0.7274644357500635,1
0,0.6891260377673362,0.31087396223266384,0
1,0.27710211064377044,0.7228978893562296,1
1,0.3013752425689513,0.6986247574310487,1
